"Timestamp","ist Ihnen Umweltschutz wichtig?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Spielt das max. Paketgewicht von 2 KG für Sie eine Rolle?","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Wenn Sie bereit sind zu warten, wie lange würden Sie warten?","Haben Sie Ergänzungen oder andere Vorschläge?","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz nur eines Zustellers ]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von autonomen (fahrerlosen) Robotern]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von Drohnen]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von Packstationen]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Längere Wartezeiten in Kauf nehmen ]","Und warum war es Ihr Favorit?","Was halten Sie von der Möglichkeit, sich anzeigen zu lassen,wieviel CO2 Sie persönlich durch eine Aktion eingespart haben.","Geschlecht","Alter","Berufstätigkeit ","Haushaltsgröße","Wie sind die ersten beiden Ziffern ihrer PLZ:","Wohnsituation","Social Media:                                                                           Ich nutze folgende Dienste:"
"2021/06/03 4:15:47 pm EET","außerordentlich","1,01 - 1,50 Euro","","","","","","","","","","","","1","4","5","3","2","Weniger CO2-Verbrauch,höhere Anwesenheitswahrscheinlichkeit bei Lieferung","gut","männlich","56-65","Vollzeit","1-2","45","städtisch","andere Social Media"
"2021/06/03 4:16:32 pm EET","ja","0,51 - 1,00 Euro","","","","","","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","es muss natürlich auch möglich sein, verderbliche waren schneller liefern zu lassen","1","5","4","3","2","Kann man am schnellsten erreichen und hat den größten Vorteil","gut","männlich","36-45","Teilzeit","1-2","09","ländlich","keine Social Media Nutzung"
"2021/06/03 4:17:43 pm EET","ja","0,10 - 0,50 Euro","","","","","","","","","","","","1","5","4","2","3","Spart Energie, weil nur 1 Fahrzeug kommt. Arbeitsplätze bleiben erhalten. ","ganz nett","weiblich","56-65","","1-2","45","städtisch","keine Social Media Nutzung"
"2021/06/03 4:21:43 pm EET","ja","","","","","","","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","","","","3","5","4","1","2","","gut","weiblich","26-35","Vollzeit","1-2","45","städtisch","Instagram"
"2021/06/03 4:30:52 pm EET","ja","","","","","","nein, weil meine Pakete nie so viel wiegen","","ja, wenn das Paket zu schwer ist","","","","","2","5","3","1","4","","gut","weiblich","26-35","Vollzeit","1-2","44","städtisch","Facebook;Instagram"
"2021/06/03 4:40:17 pm EET","nicht immer","0,51 - 1,00 Euro","","um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, deshalb müssen auch schwere Pakete befördert werden können.","","nein, ich werde beim Abholen auf den PKW verzichten","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu einer Woche","","2","3","2","5","1","","brauche ich nicht","männlich","66+","","1-2","96","ländlich","keine Social Media Nutzung"
"2021/06/03 4:48:55 pm EET","nicht immer","0,10 - 0,50 Euro","","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","bis zu zwei Tagen","","3","5","1","3","2","Post, Packstation ist 11 km weg. Auf dem Land ist nicht alles möglich.","brauche ich nicht","weiblich","56-65","","3-4","37","ländlich","Facebook"
"2021/06/03 4:52:04 pm EET","außerordentlich","0,10 - 0,50 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","1","2","","3","","Spart am meisten für die Umwelt. ","gut","männlich","56-65","Vollzeit","3-4","45470","städtisch","Facebook;Twitter"
"2021/06/03 4:54:01 pm EET","ja","1,01 - 1,50 Euro","Das wäre ein Modell mit dem ich gut leben könnte, ich kannte es noch nicht.","","","","","","","","","","","1","4","5","2","3","Ich wohne in der ersten Etage, ohne Balkon. Drohnen und Roboter würden mich nicht erreichen. ","außerordentlich gut","männlich","36-45","Vollzeit","3-4","44649","städtisch","keine Social Media Nutzung"
"2021/06/03 4:54:23 pm EET","ja","0,51 - 1,00 Euro","","um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","1","4","5","2","3","Keine Wartezeit, muss das Paket nirgends abholen ","ganz nett","weiblich","36-45","Vollzeit","1-2","47","ländlich","Facebook;Twitter;Instagram"
"2021/06/03 4:57:31 pm EET","außerordentlich","","","","","","nein, weil meine Pakete nie so viel wiegen","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","2","5","5","5","1","am umweltschonensten und trotzdem praktisch, abholung Packstation ist für mich nicht möglich :-(","gut","weiblich","56-65","Teilzeit","1-2","40","städtisch","keine Social Media Nutzung"
"2021/06/03 5:10:54 pm EET","ja","0,10 - 0,50 Euro","","","","","","","","","","","","1","5","4","2","3","Bessere Energiebilanz durch weniger Zusteller 
Das Chaos von unfähigen Zustellern würde aufhören ","brauche ich nicht","weiblich","46-55","Vollzeit","3-4","44","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/03 5:18:40 pm EET","nicht immer","0,10 - 0,50 Euro","","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","max. einen Tag","","1","5","3","3","5","Ich möchte meine Pakete möglichst schnell bekommen und wenn alles zusammen geliefert wird, ist das für meine Tagesplanung optimal. ( ich muss nicht den ganzen Tag zu Hause sein und auf die verschiedenen Lieferdienste warten)","brauche ich nicht","weiblich","36-45","Vollzeit","1-2","58","ländlich","Facebook"
"2021/06/03 5:21:10 pm EET","ja","0,51 - 1,00 Euro","","","","","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu einer Woche","","1","4","4","1","1","","außerordentlich gut","weiblich","46-55","Teilzeit","1-2","45","städtisch","Facebook;Instagram"
"2021/06/03 5:21:57 pm EET","ja","0,10 - 0,50 Euro","Besser wäre es, wenn man schon bei der Bestellung ein Unternehmen wählen könnte. Das Unternehmen könnte dann automatisch über die Bestellung informiert werden und die ankommenden Pakete für den Kunden sammeln. dies würde aber einen erhöhten Lagerplatzbedarf auslösen. Zudem einen erhöhten logistischen Aufwand.","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","2","2","4","4","1","Die längeren Wartezeiten sind das kleinste übel. Alle anderen Möglichkeiten ziehen andere negative Aspekte hinter sich.","ganz nett","weiblich","36-45","Teilzeit","1-2","41","städtisch","keine Social Media Nutzung"
"2021/06/03 5:43:59 pm EET","ja","1,01 - 1,50 Euro","","","","","","","","","","","","1","3","4","2","5","Überwiegend Vorteile, menschliche Arbeitskraft wird nicht ersetzt ","ganz nett","weiblich","36-45","Vollzeit","1-2","50","städtisch","Facebook"
"2021/06/03 6:11:34 pm EET","ja","","","","","um die Preise für die Paketauslieferung zu senken;um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen;ja, deshalb müssen auch schwere Pakete befördert werden können.","","","","","bis zu einer Woche;länger als eine Woche","","3","5","1","4","2","Flachdach.0","brauche ich nicht","männlich","26-35","Vollzeit","1-2","44135","städtisch","Instagram"
"2021/06/03 6:11:56 pm EET","außerordentlich","0,10 - 0,50 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen;ja, deshalb müssen auch schwere Pakete befördert werden können.","","nein, ich werde beim Abholen auf den PKW verzichten","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt;ich erwarte einen Preisnachlass für die verspäteten Lieferungen","bis zu zwei Tagen","","1","1","1","1","1","","gut","weiblich","46-55","Teilzeit","1-2","44","städtisch","Twitter"
"2021/06/03 6:11:58 pm EET","ja","keine weitere Gebühr","Für den Einsatz bräuchte man kein extra Unternehmen, das sollte dhl und Co auch so in den Griff bekommen. ","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","Nein","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","Neun","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist","Packstation an der Wohnung oder zentral in jeder Straße ","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","bis zu einer Woche","Aber mit option ob man es will oder nicht. ","1","5","4","3","3","Ich finde persönlich besser ","","","36-45","Vollzeit","3-4","45128 ","städtisch","Facebook;Instagram"
"2021/06/03 6:18:03 pm EET","ja","keine weitere Gebühr","Der zur co2 Reduzierung durch zusätzliche Dienstleister ist mir noch nicht ersichtlich. ","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","","Man kann die Abholung auf dem Weg zu einem anderen Ziel kombinieren. Trotz Verbrennungsmotor. ","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","4","2","2","1","1","Flexibel","außerordentlich gut","männlich","36-45","Vollzeit","1-2","45277 ","städtisch","keine Social Media Nutzung"
"2021/06/03 6:19:53 pm EET","ja","","","","","","","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu einer Woche","","2","3","5","4","1","alles andere ist im ländlichen raum sinnlos, zur packstation muß ich 4 kilometer fahren","brauche ich nicht","weiblich","56-65","Vollzeit","1-2","78","ländlich","keine Social Media Nutzung"
"2021/06/03 6:21:59 pm EET","ja","1,01 - 1,50 Euro","","","","","","","","","","","","","","","","","","","weiblich","66+","","1-2","04","ländlich","andere Social Media"
"2021/06/03 6:44:48 pm EET","nicht immer","","","","","","","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu einer Woche","Die Möglichkeit eine bestimmte Lieferung die für mich zeitlich wichtig ist davon auszunehmen muss einfach möglich sein.","2","3","4","5","1","Sendungen an mich sind oft >2kg; mit dem Rolli in Bus&Bahn zur Packstation und dort die Sendung nicht aus einem der oberen Fächer bekommen macht man nur ein einziges Mal; alles andere ist aber akzeptabel.","brauche ich nicht","männlich","46-55","","1-2","44","städtisch","Facebook;andere Social Media"
"2021/06/03 6:50:36 pm EET","ja","keine weitere Gebühr","Wieso eine Extragebühr zahlen, wenn der eigentliche Zusteller Fahrzeuge und Personal spart und damit dem Incharge Unternehmen das Geld geben könnte?","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für präker Beschäftigte zu unterstützen","nein, weil meine Pakete nie so viel wiegen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","Ein weiterer sinnvoller Aspekt hier ist, dass man sich den Abholzeitpunkt aussuchen kann. Hier können außerdem dann auch mehrere Pakete gleichzeitig abgeholt werden. ","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","länger als eine Woche","Das gilt nur, falls ich mir das pro Bestellung/Paket aussuchen darf, ob der auch bis zu einer gewissen Wartezeit einbehalten werden darf, da man durchaus schon dringende Pakete haben kann.","5","4","3","1","1","Längere Wartezeit für nicht dringende Pakete in Kauf nehmen, ist für mich die einfachste Art für alle, der Umwelt zu helfen.","außerordentlich gut","männlich","26-35","Vollzeit","3-4","45","städtisch","Facebook;Linkedin;andere Social Media"
"2021/06/03 7:13:14 pm EET","ja","keine weitere Gebühr","","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","nein, ich berücksichtige das Gewicht bei der Bestellung","","ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","max. einen Tag","","2","5","5","4","5","","brauche ich nicht","männlich","66+","","1-2","44","städtisch","Facebook;andere Social Media"
"2021/06/03 7:19:43 pm EET","ja","1,01 - 1,50 Euro","","","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist","","","","","1","3","4","2","5","","ganz nett","weiblich","36-45","Teilzeit","1-2","45","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/03 7:33:07 pm EET","ja","mehr als 2,00 Euro","","um Bildungsangebote für prekär Beschäftigte zu unterstützen","","","ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, wenn das Paket zu schwer ist","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu zwei Tagen","","1","5","4","2","2","","gut","männlich","36-45","Vollzeit","4+","44","städtisch","Facebook;Instagram"
"2021/06/03 7:34:47 pm EET","außerordentlich","1,51 - 2,00 Euro","ich wäre bereit 2 Euro mehr zu zahlen, wenn der Ressourcenverbrauch und Verkehrsaufkommen ""der letzten Meile"" dadurch tatsächlich geringer ausfällt (dafür müsste ich wissen, wie zB incharge tatsächlich vorgeht bzw von wo sie Pakete einsammeln)-kein greenwashing, Schönrechnen oder so...","","Diese Option würde ich NICHT wählen. ","","","Diese Option würde ich NICHT wählen. ","nein, ich werde beim Abholen auf den PKW verzichten","Konsumenten sollten viel mehr darauf aufmerksam gemacht werden, wie viel die ""letzte Meile"" beim CO2 Fussabdruck eines Produktes oder Lebensmittels ausmacht.","","bis zu einer Woche","Ich würde gerne individuell vor der Auslieferung gefragt werden. Bei manchen Paketen ist es schlecht, wenn sie liegen bleiben, bei Vielen wäre es mir egal. Ca. 4x im Jahr also ggf. eine extra Tour leider in meine Ecke, ansonsten könnte ich darauf verzichten. Länger als eine Woche könnte wegen der Widerrufsfrist bei mangelhafter Ware oder Schadensnahme bei der Lieferung ein Problem werden.","2","5","5","2","1","Es ist umweltfreundlicher als es momentan üblich ist und immer noch recht komfortabel und sicher.","ganz nett","weiblich","36-45","Teilzeit","1-2","33","städtisch","keine Social Media Nutzung"
"2021/06/03 7:40:47 pm EET","außerordentlich","1,01 - 1,50 Euro","","um die Preise für die Paketauslieferung zu senken;um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu einer Woche","","2","1","4","2","1","Co2 einsparen.pakete erst mal sammeln","außerordentlich gut","weiblich","36-45","Vollzeit","3-4","45","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/03 7:53:57 pm EET","ja","","","","","","","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen;bis zu drei Tagen","","2","","","3","1","Vorallem da Arbeitsplätze erhalten bleiben und nicht durch Roboter ersetzt werden,-wobei es schon entscheidend für mich sein könnte wie dringlich meine Bestellung ist. Ich würde es mir aber angewöhnwn vorausschauende zu planen um diese Möglichkeit zu nutzen. ","außerordentlich gut","weiblich","26-35","Teilzeit","3-4","45","städtisch","Facebook"
"2021/06/03 8:02:41 pm EET","ja","keine weitere Gebühr","","","","","","","","","","","","1","2","5","2","5","Am effektivste da ich beruflich nicht lange auf Pakete warten kann ","außerordentlich gut","weiblich","36-45","Teilzeit","3-4","45","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/03 8:02:46 pm EET","ja","mehr als 2,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, wenn das Paket zu schwer ist","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu einer Woche","","1","5","5","1","2","","ganz nett","männlich","56-65","Vollzeit","1-2","44","städtisch","andere Social Media"
"2021/06/03 8:07:16 pm EET","ja","0,10 - 0,50 Euro","Nein","um die Preise für die Paketauslieferung zu senken","Nein","um die Preise für die Paketauslieferung zu senken","nein, ich berücksichtige das Gewicht bei der Bestellung","Nein","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","Nein","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu zwei Tagen","Nein","1","5","4","2","3","Weil man sicher dann kennt","brauche ich nicht","weiblich","46-55","Teilzeit","1-2","44","städtisch","Facebook;Instagram"
"2021/06/03 8:12:05 pm EET","ja","","","","","","","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist","","","","","2","4","5","1","5","Handhabe das mit den Parkstadionen jetzt schon . Ich kann die Pakete abholen wann es am besten bei mir passt. ","gut","weiblich","46-55","Vollzeit","3-4","40","städtisch","Facebook;Twitter"
"2021/06/03 8:13:03 pm EET","ja","0,51 - 1,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","nein, weil meine Pakete nie so viel wiegen","","ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","1","3","3","1","1","","außerordentlich gut","männlich","36-45","Vollzeit","3-4","42","städtisch","keine Social Media Nutzung"
"2021/06/03 8:14:24 pm EET","außerordentlich","1,01 - 1,50 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","nein, ich berücksichtige das Gewicht bei der Bestellung","","nein, ich werde beim Abholen auf den PKW verzichten","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","5","2","3","1","2","Bisher gute Erfahrung
","außerordentlich gut","männlich","66+","Teilzeit","1-2","40","städtisch","Facebook;Twitter;Instagram"
"2021/06/03 8:16:53 pm EET","ja","keine weitere Gebühr","","um die Preise für die Paketauslieferung zu senken;um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um die Preise für die Paketauslieferung zu senken;um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","max. einen Tag","","5","2","1","4","3","","ganz nett","männlich","26-35","Vollzeit","3-4","45","städtisch","keine Social Media Nutzung"
"2021/06/03 8:17:16 pm EET","ja","0,51 - 1,00 Euro","","","","","","","","","","","","1","3","4","5","2","Am praktikabelsten und für mich als Kunden am komfortabelsten ","brauche ich nicht","männlich","46-55","Vollzeit","3-4","44","städtisch","Facebook;Instagram"
"2021/06/03 8:17:38 pm EET","außerordentlich","1,51 - 2,00 Euro","","","","","","","","","","","","1","5","4","2","3","","außerordentlich gut","weiblich","36-45","Vollzeit","3-4","99","städtisch","andere Social Media"
"2021/06/03 8:17:59 pm EET","nicht immer","keine weitere Gebühr","Die Lieferung von Gütern sollte dort geschehen, wo eine mangelhafte Infrastruktur an Läden besteht. D.h. der Konsument muß erhebliche Mühen auf sich nehmen um die Güter zu bekommen. In Städten ist ein Lieferdienst nicht notwendig.","","Wo sind Einsparungen? jedes Paket hat eine maximale Größe und pro (abgebildeten) Roboter kann lediglich 1 Paket geliefert werden, ergo 10 Pakete = 10 Roboter= Mehr Kapitaleinsatz.","","","Genau, wie beim Roboter, muß ich zugegen sein um das Paket anzunehmen.","","Ich bestelle keine Pakete, jetzt in der Pandemie, habe ich zweimal ein Paket erhalten und beide Male über die nicht erfolgte Lieferung geärgert.","","","Wenn die Lieferzeit grundsätzlich länger dauert, ist es unerheblich wie lange es dauert, erst wenn einer mit ""Lieferung am selben Tag"" kommt schaut man sich um.","1","5","5","5","1","Wenn der Zusteller gut ist, dann möchte ich eine Person haben.","brauche ich nicht","männlich","56-65","Vollzeit","1-2","D-20","städtisch","Facebook;andere Social Media"
"2021/06/03 8:19:50 pm EET","nicht immer","keine weitere Gebühr","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Bildungsangebote für präker Beschäftigte zu unterstützen","nein, weil meine Pakete nie so viel wiegen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","bis zu einer Woche","","2","1","2","2","1","","gut","weiblich","17-25","Vollzeit","3-4","45326 ","städtisch","Instagram"
"2021/06/03 8:21:03 pm EET","nicht immer","keine weitere Gebühr","","um die Preise für die Paketauslieferung zu senken","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","nein, ich berücksichtige das Gewicht bei der Bestellung","","ja, wenn das Paket zu schwer ist","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","bis zu zwei Tagen","","2","3","2","2","3","","brauche ich nicht","männlich","36-45","Vollzeit","1-2","45","städtisch","Facebook;Instagram"
"2021/06/03 8:22:14 pm EET","ja","0,51 - 1,00 Euro","","","","","","","ja, bei schlechtem Wetter","","","","","1","4","5","2","3","","gut","weiblich","36-45","Teilzeit","3-4","44","städtisch","keine Social Media Nutzung"
"2021/06/03 8:22:35 pm EET","ja","0,51 - 1,00 Euro","","um die Preise für die Paketauslieferung zu senken;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um die Preise für die Paketauslieferung zu senken;um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","4","5","1","2","3","Straßen werden entlastet","brauche ich nicht","männlich","26-35","Vollzeit","3-4","45","städtisch","Facebook;Instagram"
"2021/06/03 8:24:05 pm EET","ja","0,51 - 1,00 Euro;1,01 - 1,50 Euro","Als Logistikplaner für DHL etc. sehe ich Schwierigkeiten in der Abwicklung innerhalb eines Logistikzentrums, da ein zusätzlicher Schritt für die Abwicklung für das Unternehmen eingeplant werden muss. Das breit gefächerte Netzwerk von Logistikhallen benötigt lange Verkehrswege, um alle Pakete unterschiedlichster Zusender einzusammeln. Einen direkten Weg von Versender zum Empfänger kann nur durch die bisher bekannten Logistikunternehmen gehalten werden. ","","","","nein, weil meine Pakete nie so viel wiegen","","","","","bis zu einer Woche","","2","4","4","2","2","Der Kompromiss, dass Menschen Ihr Paket abholen müssen bzw. länger warten müssen ist der logisch einfachste Weg, CO2 einzusparen. Der Weg eines Zustellers klappt aufgrund von Lieferketten und Abwicklungen der Logistikhallen nicht. ","gut","männlich","17-25","Vollzeit","3-4","40764","ländlich","Facebook;Instagram;Linkedin"
"2021/06/03 8:24:14 pm EET","ja","0,51 - 1,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","3","4","3","2","1","Der Mensch sollte sich wieder daran gewöhnen, dass man nicht alles sofort haben kann.","außerordentlich gut","weiblich","26-35","Teilzeit","3-4","47","städtisch","Facebook;Instagram;Linkedin"
"2021/06/03 8:24:36 pm EET","ja","1,01 - 1,50 Euro","","","","","","","","","","","","1","3","2","4","5","","gut","männlich","36-45","Vollzeit","3-4","44","städtisch","keine Social Media Nutzung"
"2021/06/03 8:24:58 pm EET","ja","1,51 - 2,00 Euro","","","","","","","","","","","","1","2","3","2","3","Der Umwelt zuliebe","außerordentlich gut","weiblich","46-55","Teilzeit","1-2","46","städtisch","andere Social Media"
"2021/06/03 8:25:11 pm EET","außerordentlich","0,51 - 1,00 Euro","","","","","","","","","","","","1","5","4","3","2","Man kann sich auch besser drauf einstellen wann der Fahrer kommt und es so besser einrichten das man evtl selbst vor Ort sein kann ","außerordentlich gut","weiblich","36-45","Teilzeit","3-4","58","städtisch","Instagram"
"2021/06/03 8:25:27 pm EET","ja","1,01 - 1,50 Euro","","","","","","","","","","","","1","4","5","2","3","Paketzustellung eigentlich wie gewohnt, jedoch gebündelt.","außerordentlich gut","weiblich","17-25","Teilzeit","3-4","44","städtisch","keine Social Media Nutzung"
"2021/06/03 8:25:44 pm EET","ja","","","","","","","","nein, ich werde beim Abholen auf den PKW verzichten","","","","","2","4","3","1","5","Weil ich es bereits nutze, nicht auf einen Zusteller warten muss und so flexibel bin","gut","weiblich","36-45","Vollzeit","1-2","45","städtisch","Facebook;Twitter;Instagram;andere Social Media"
"2021/06/03 8:26:34 pm EET","ja","0,10 - 0,50 Euro","","","","","","","","","","","","1","3","4","5","2","Weil es die meisten Vorteile für mich hat","außerordentlich gut","weiblich","26-35","Vollzeit","3-4","45889","städtisch",""
"2021/06/03 8:26:47 pm EET","ja","1,01 - 1,50 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt;ich erwarte einen Preisnachlass für die verspäteten Lieferungen;ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu zwei Tagen","","3","2","1","5","4","","ganz nett","männlich","36-45","Vollzeit","3-4","45","städtisch","Twitter;andere Social Media"
